Comunidades autónomas	Ocupación	Sexo	Periodo	Total
Canarias	Media	Hombres	2010	18.549,89
Canarias	Media	Hombres	2009	18.237,75
Canarias	Media	Hombres	2008	18.054,5
Canarias	Baja	Ambos sexos	2023	17.554,22
Canarias	Baja	Ambos sexos	2022	17.390,53
Canarias	Baja	Ambos sexos	2021	15.554,27
Canarias	Baja	Ambos sexos	2020	15.839,65
Canarias	Baja	Ambos sexos	2019	15.754,25
Canarias	Baja	Ambos sexos	2018	15.425,86
Canarias	Baja	Ambos sexos	2017	15.226,32
Canarias	Baja	Ambos sexos	2016	14.950,65
Canarias	Baja	Ambos sexos	2015	15.367,09
Canarias	Baja	Ambos sexos	2014	14.441,98
Canarias	Baja	Ambos sexos	2013	14.519,47
Canarias	Baja	Ambos sexos	2012	14.132,95
Canarias	Baja	Ambos sexos	2011	14.359,81
Canarias	Baja	Ambos sexos	2010	13.629,45
Canarias	Baja	Ambos sexos	2009	14.561,71
Canarias	Baja	Ambos sexos	2008	14.608,3
Canarias	Baja	Mujeres	2023	15.533,22
Canarias	Baja	Mujeres	2022	14.603,07
Canarias	Baja	Mujeres	2021	12.895,7
Canarias	Baja	Mujeres	2020	13.459,65
Canarias	Baja	Mujeres	2019	13.764,52
Canarias	Baja	Mujeres	2018	13.409,9
Canarias	Baja	Mujeres	2017	13.213,83
Canarias	Baja	Mujeres	2016	12.953,28
Canarias	Baja	Mujeres	2015	12.906,03
Canarias	Baja	Mujeres	2014	12.499,9
Canarias	Baja	Mujeres	2013	12.605,68
Canarias	Baja	Mujeres	2012	11.956,58
Canarias	Baja	Mujeres	2011	12.071,47
Canarias	Baja	Mujeres	2010	11.544,47
Canarias	Baja	Mujeres	2009	11.714,95
Canarias	Baja	Mujeres	2008	12.240,17
Canarias	Baja	Hombres	2023	18.769,61
Canarias	Baja	Hombres	2022	19.102,46
Canarias	Baja	Hombres	2021	17.244,15
Canarias	Baja	Hombres	2020	17.311,66
Canarias	Baja	Hombres	2019	17.105,21
Canarias	Baja	Hombres	2018	16.743,28
Canarias	Baja	Hombres	2017	16.526,38
Canarias	Baja	Hombres	2016	16.223,46
Canarias	Baja	Hombres	2015	17.309,95
Canarias	Baja	Hombres	2014	15.785,75
Canarias	Baja	Hombres	2013	15.998,7
Canarias	Baja	Hombres	2012	15.711,29
Canarias	Baja	Hombres	2011	16.104,82
Canarias	Baja	Hombres	2010	15.109,26
Canarias	Baja	Hombres	2009	16.211,58
Canarias	Baja	Hombres	2008	15.746,8
Cantabria	Todas las ocupaciones	Ambos sexos	2023	26.568,7
Cantabria	Todas las ocupaciones	Ambos sexos	2022	25.291,14
Cantabria	Todas las ocupaciones	Ambos sexos	2021	24.470,7
Cantabria	Todas las ocupaciones	Ambos sexos	2020	23.495,12
Cantabria	Todas las ocupaciones	Ambos sexos	2019	23.347,52
Cantabria	Todas las ocupaciones	Ambos sexos	2018	22.554,83
Cantabria	Todas las ocupaciones	Ambos sexos	2017	22.390,4
Cantabria	Todas las ocupaciones	Ambos sexos	2016	22.063,02
Cantabria	Todas las ocupaciones	Ambos sexos	2015	21.856,81
Cantabria	Todas las ocupaciones	Ambos sexos	2014	21.199,83
Cantabria	Todas las ocupaciones	Ambos sexos	2013	20.052,12
Cantabria	Todas las ocupaciones	Ambos sexos	2012	20.191,51
Cantabria	Todas las ocupaciones	Ambos sexos	2011	20.931,68
Cantabria	Todas las ocupaciones	Ambos sexos	2010	21.156,79
Cantabria	Todas las ocupaciones	Ambos sexos	2009	20.869,86
Cantabria	Todas las ocupaciones	Ambos sexos	2008	20.377,68
Cantabria	Todas las ocupaciones	Mujeres	2023	23.727,01
Cantabria	Todas las ocupaciones	Mujeres	2022	22.564,11
Cantabria	Todas las ocupaciones	Mujeres	2021	21.532,96
Cantabria	Todas las ocupaciones	Mujeres	2020	20.996,83
Cantabria	Todas las ocupaciones	Mujeres	2019	20.600,16
Cantabria	Todas las ocupaciones	Mujeres	2018	19.630,01
Cantabria	Todas las ocupaciones	Mujeres	2017	19.012,2
Cantabria	Todas las ocupaciones	Mujeres	2016	18.216,84
Cantabria	Todas las ocupaciones	Mujeres	2015	17.955,79
Cantabria	Todas las ocupaciones	Mujeres	2014	17.668,55
Cantabria	Todas las ocupaciones	Mujeres	2013	16.542,34
Cantabria	Todas las ocupaciones	Mujeres	2012	16.771,99
Cantabria	Todas las ocupaciones	Mujeres	2011	17.606,84
Cantabria	Todas las ocupaciones	Mujeres	2010	17.887,59
Cantabria	Todas las ocupaciones	Mujeres	2009	18.210,65
Cantabria	Todas las ocupaciones	Mujeres	2008	17.460,14
Cantabria	Todas las ocupaciones	Hombres	2023	29.145,64
Cantabria	Todas las ocupaciones	Hombres	2022	27.820,83
Cantabria	Todas las ocupaciones	Hombres	2021	27.233,75
Cantabria	Todas las ocupaciones	Hombres	2020	25.804,13
Cantabria	Todas las ocupaciones	Hombres	2019	25.795,43
Cantabria	Todas las ocupaciones	Hombres	2018	25.349,01
Cantabria	Todas las ocupaciones	Hombres	2017	25.249,94
Cantabria	Todas las ocupaciones	Hombres	2016	25.210,05
Cantabria	Todas las ocupaciones	Hombres	2015	25.259,83
Cantabria	Todas las ocupaciones	Hombres	2014	24.685,21
Cantabria	Todas las ocupaciones	Hombres	2013	23.224,6
Cantabria	Todas las ocupaciones	Hombres	2012	23.309,9
Cantabria	Todas las ocupaciones	Hombres	2011	23.793,64
Cantabria	Todas las ocupaciones	Hombres	2010	23.924,51
Cantabria	Todas las ocupaciones	Hombres	2009	22.933
Cantabria	Todas las ocupaciones	Hombres	2008	22.539,72
Cantabria	Alta	Ambos sexos	2023	36.365,32
Cantabria	Alta	Ambos sexos	2022	36.132,73
Cantabria	Alta	Ambos sexos	2021	33.665,23
Cantabria	Alta	Ambos sexos	2020	32.712,57
Cantabria	Alta	Ambos sexos	2019	32.812,87
Cantabria	Alta	Ambos sexos	2018	30.895,2
Cantabria	Alta	Ambos sexos	2017	31.681,69
Cantabria	Alta	Ambos sexos	2016	31.248,33
Cantabria	Alta	Ambos sexos	2015	29.971,91
Cantabria	Alta	Ambos sexos	2014	30.473,35
Cantabria	Alta	Ambos sexos	2013	27.912,57
Cantabria	Alta	Ambos sexos	2012	29.252,68
Cantabria	Alta	Ambos sexos	2011	29.967,68
Cantabria	Alta	Ambos sexos	2010	29.626,17
Cantabria	Alta	Ambos sexos	2009	29.887,23
Cantabria	Alta	Ambos sexos	2008	28.798,76
Cantabria	Alta	Mujeres	2023	33.842,66
Cantabria	Alta	Mujeres	2022	33.066,21
Cantabria	Alta	Mujeres	2021	31.965,65
Cantabria	Alta	Mujeres	2020	31.396,14
Cantabria	Alta	Mujeres	2019	31.065,44
Cantabria	Alta	Mujeres	2018	27.867,64
Cantabria	Alta	Mujeres	2017	28.460,34
Cantabria	Alta	Mujeres	2016	26.478,97
Cantabria	Alta	Mujeres	2015	25.455,04
Cantabria	Alta	Mujeres	2014	26.914,65
Cantabria	Alta	Mujeres	2013	24.040,64
Cantabria	Alta	Mujeres	2012	25.809,01
Cantabria	Alta	Mujeres	2011	26.466,3
Cantabria	Alta	Mujeres	2010	26.302,67
Cantabria	Alta	Mujeres	2009	27.732,24
Cantabria	Alta	Mujeres	2008	25.904,64
Cantabria	Alta	Hombres	2023	39.290,16
Cantabria	Alta	Hombres	2022	39.989,68
Cantabria	Alta	Hombres	2021	35.585,18
Cantabria	Alta	Hombres	2020	34.223,61
Cantabria	Alta	Hombres	2019	34.672,11
Cantabria	Alta	Hombres	2018	34.705,16
Cantabria	Alta	Hombres	2017	34.749,74
Cantabria	Alta	Hombres	2016	35.363,55
Cantabria	Alta	Hombres	2015	34.486,1
Cantabria	Alta	Hombres	2014	34.425,63
Cantabria	Alta	Hombres	2013	31.172,37
Cantabria	Alta	Hombres	2012	32.188,27
Cantabria	Alta	Hombres	2011	33.280,1
Cantabria	Alta	Hombres	2010	32.873,84
Cantabria	Alta	Hombres	2009	32.054,39
Cantabria	Alta	Hombres	2008	31.620,09
Cantabria	Media	Ambos sexos	2023	22.369,1
Cantabria	Media	Ambos sexos	2022	20.820,6
Cantabria	Media	Ambos sexos	2021	20.019,77
Cantabria	Media	Ambos sexos	2020	19.241,88
Cantabria	Media	Ambos sexos	2019	19.297,77
Cantabria	Media	Ambos sexos	2018	18.701,68
Cantabria	Media	Ambos sexos	2017	17.413,24
Cantabria	Media	Ambos sexos	2016	17.500,56
Cantabria	Media	Ambos sexos	2015	17.647,83
Cantabria	Media	Ambos sexos	2014	17.133,85
Cantabria	Media	Ambos sexos	2013	16.891,63
Cantabria	Media	Ambos sexos	2012	17.035,13
Cantabria	Media	Ambos sexos	2011	17.353,7
Cantabria	Media	Ambos sexos	2010	18.011,29
Cantabria	Media	Ambos sexos	2009	17.285,8
Cantabria	Media	Ambos sexos	2008	17.274,75
Cantabria	Media	Mujeres	2023	19.120,02
Cantabria	Media	Mujeres	2022	18.575,82
Cantabria	Media	Mujeres	2021	16.493,5
Cantabria	Media	Mujeres	2020	15.999,07
Cantabria	Media	Mujeres	2019	15.984,7
Cantabria	Media	Mujeres	2018	15.985,16
Cantabria	Media	Mujeres	2017	14.499,55
Cantabria	Media	Mujeres	2016	14.706,51
Cantabria	Media	Mujeres	2015	14.408,69
Cantabria	Media	Mujeres	2014	13.776,11
Cantabria	Media	Mujeres	2013	14.057,52
Cantabria	Media	Mujeres	2012	14.042,62
Cantabria	Media	Mujeres	2011	14.378,19
Cantabria	Media	Mujeres	2010	14.703,43
Cantabria	Media	Mujeres	2009	14.129,23
Cantabria	Media	Mujeres	2008	14.171,52
Cantabria	Media	Hombres	2023	25.614,88
Cantabria	Media	Hombres	2022	23.126,76
Cantabria	Media	Hombres	2021	23.816,79
Cantabria	Media	Hombres	2020	22.939,69
Cantabria	Media	Hombres	2019	22.666,18
Cantabria	Media	Hombres	2018	21.561,62
Cantabria	Media	Hombres	2017	20.584,15
Cantabria	Media	Hombres	2016	20.359,76
Cantabria	Media	Hombres	2015	20.916,41
Cantabria	Media	Hombres	2014	21.132,59
Cantabria	Media	Hombres	2013	20.302,29
Cantabria	Media	Hombres	2012	20.660,24
Cantabria	Media	Hombres	2011	20.315,36
Cantabria	Media	Hombres	2010	21.162,86
Cantabria	Media	Hombres	2009	20.237,03
Cantabria	Media	Hombres	2008	19.980,04
Cantabria	Baja	Ambos sexos	2023	21.114,99
Cantabria	Baja	Ambos sexos	2022	21.008,2
Cantabria	Baja	Ambos sexos	2021	20.479,99
Cantabria	Baja	Ambos sexos	2020	19.560,79
Cantabria	Baja	Ambos sexos	2019	19.319,2
Cantabria	Baja	Ambos sexos	2018	19.098,9
Cantabria	Baja	Ambos sexos	2017	19.637,54
Cantabria	Baja	Ambos sexos	2016	18.804,58
Cantabria	Baja	Ambos sexos	2015	18.906
Cantabria	Baja	Ambos sexos	2014	17.372,28
Cantabria	Baja	Ambos sexos	2013	17.116,16
Cantabria	Baja	Ambos sexos	2012	17.101,48
Cantabria	Baja	Ambos sexos	2011	17.938,15
Cantabria	Baja	Ambos sexos	2010	17.096,9
Cantabria	Baja	Ambos sexos	2009	17.314,4
Cantabria	Baja	Ambos sexos	2008	17.498,91
Cantabria	Baja	Mujeres	2023	-14.628,01
Cantabria	Baja	Mujeres	2022	-13.050,03
Cantabria	Baja	Mujeres	2021	-14.075,25
Cantabria	Baja	Mujeres	2020	-13.881,3
Cantabria	Baja	Mujeres	2019	-13.916,22
Cantabria	Baja	Mujeres	2018	-12.732,46
Cantabria	Baja	Mujeres	2017	-13.590,44
Cantabria	Baja	Mujeres	2016	-13.439,68
Cantabria	Baja	Mujeres	2015	-13.207,49
Cantabria	Baja	Mujeres	2014	-11.854,73
Cantabria	Baja	Mujeres	2013	-12.764,7
Cantabria	Baja	Mujeres	2012	-13.022,82
Cantabria	Baja	Mujeres	2011	-13.122,74
Cantabria	Baja	Mujeres	2010	-12.326,71
Cantabria	Baja	Mujeres	2009	11.958,47
Cantabria	Baja	Mujeres	2008	12.329,45
Cantabria	Baja	Hombres	2023	24.428,89
Cantabria	Baja	Hombres	2022	24.935,92
Cantabria	Baja	Hombres	2021	23.802,39
Cantabria	Baja	Hombres	2020	22.070,85
Cantabria	Baja	Hombres	2019	22.069,49
Cantabria	Baja	Hombres	2018	22.503,4
Cantabria	Baja	Hombres	2017	22.163,04
Cantabria	Baja	Hombres	2016	21.470,74
Cantabria	Baja	Hombres	2015	21.997,58
Cantabria	Baja	Hombres	2014	20.369,96
Cantabria	Baja	Hombres	2013	19.461,13
Cantabria	Baja	Hombres	2012	19.332,78
Cantabria	Baja	Hombres	2011	20.664,5
Cantabria	Baja	Hombres	2010	19.725,59
Cantabria	Baja	Hombres	2009	19.388,59
Cantabria	Baja	Hombres	2008	19.502,55
Castilla y León	Todas las ocupaciones	Ambos sexos	2023	25.227,03
Castilla y León	Todas las ocupaciones	Ambos sexos	2022	24.186,89
Castilla y León	Todas las ocupaciones	Ambos sexos	2021	23.564,33
Castilla y León	Todas las ocupaciones	Ambos sexos	2020	22.948,76
Castilla y León	Todas las ocupaciones	Ambos sexos	2019	22.061,44
Castilla y León	Todas las ocupaciones	Ambos sexos	2018	22.034,53
Castilla y León	Todas las ocupaciones	Ambos sexos	2017	21.846,88
Castilla y León	Todas las ocupaciones	Ambos sexos	2016	21.551,57
Castilla y León	Todas las ocupaciones	Ambos sexos	2015	21.296,1
Castilla y León	Todas las ocupaciones	Ambos sexos	2014	20.524,83
Castilla y León	Todas las ocupaciones	Ambos sexos	2013	20.440,56
Castilla y León	Todas las ocupaciones	Ambos sexos	2012	20.569,14
Castilla y León	Todas las ocupaciones	Ambos sexos	2011	21.029,37
Castilla y León	Todas las ocupaciones	Ambos sexos	2010	20.960,87
Castilla y León	Todas las ocupaciones	Ambos sexos	2009	21.037,13
Castilla y León	Todas las ocupaciones	Ambos sexos	2008	20.218,21
Castilla y León	Todas las ocupaciones	Mujeres	2023	23.104,3
Castilla y León	Todas las ocupaciones	Mujeres	2022	21.773,27
Castilla y León	Todas las ocupaciones	Mujeres	2021	20.795,39
Castilla y León	Todas las ocupaciones	Mujeres	2020	20.314,96
Castilla y León	Todas las ocupaciones	Mujeres	2019	19.414,11
Castilla y León	Todas las ocupaciones	Mujeres	2018	19.056,53
Castilla y León	Todas las ocupaciones	Mujeres	2017	18.796,93
Castilla y León	Todas las ocupaciones	Mujeres	2016	18.662,42
Castilla y León	Todas las ocupaciones	Mujeres	2015	18.523,74
Castilla y León	Todas las ocupaciones	Mujeres	2014	17.682,88
Castilla y León	Todas las ocupaciones	Mujeres	2013	17.429,41
Castilla y León	Todas las ocupaciones	Mujeres	2012	17.552,07
Castilla y León	Todas las ocupaciones	Mujeres	2011	18.193,91
Castilla y León	Todas las ocupaciones	Mujeres	2010	17.683,88
Castilla y León	Todas las ocupaciones	Mujeres	2009	18.249,87
Castilla y León	Todas las ocupaciones	Mujeres	2008	17.573,56
Castilla y León	Todas las ocupaciones	Hombres	2023	27.360,49
Castilla y León	Todas las ocupaciones	Hombres	2022	26.548,08
Castilla y León	Todas las ocupaciones	Hombres	2021	26.263,49
Castilla y León	Todas las ocupaciones	Hombres	2020	25.549,98
Castilla y León	Todas las ocupaciones	Hombres	2019	24.665,79
Castilla y León	Todas las ocupaciones	Hombres	2018	24.714,04
Castilla y León	Todas las ocupaciones	Hombres	2017	24.782,8
Castilla y León	Todas las ocupaciones	Hombres	2016	24.445,65
Castilla y León	Todas las ocupaciones	Hombres	2015	24.135,64
Castilla y León	Todas las ocupaciones	Hombres	2014	22.904,8
Castilla y León	Todas las ocupaciones	Hombres	2013	23.379
Castilla y León	Todas las ocupaciones	Hombres	2012	23.473,82
Castilla y León	Todas las ocupaciones	Hombres	2011	23.482,58
Castilla y León	Todas las ocupaciones	Hombres	2010	23.640,67
Castilla y León	Todas las ocupaciones	Hombres	2009	23.116,47
Castilla y León	Todas las ocupaciones	Hombres	2008	22.117,28
Castilla y León	Alta	Ambos sexos	2023	34.603,37
Castilla y León	Alta	Ambos sexos	2022	33.992,4
Castilla y León	Alta	Ambos sexos	2021	33.767,09
Castilla y León	Alta	Ambos sexos	2020	32.097,67
Castilla y León	Alta	Ambos sexos	2019	30.191,24
Castilla y León	Alta	Ambos sexos	2018	30.776,11
Castilla y León	Alta	Ambos sexos	2017	30.540,39
Castilla y León	Alta	Ambos sexos	2016	29.669,89
Castilla y León	Alta	Ambos sexos	2015	29.971,01
Castilla y León	Alta	Ambos sexos	2014	29.746,07
Castilla y León	Alta	Ambos sexos	2013	29.190,75
Castilla y León	Alta	Ambos sexos	2012	28.983,18
Castilla y León	Alta	Ambos sexos	2011	29.537,61
Castilla y León	Alta	Ambos sexos	2010	30.678,73
Castilla y León	Alta	Ambos sexos	2009	30.173,57
Castilla y León	Alta	Ambos sexos	2008	28.473,14
Castilla y León	Alta	Mujeres	2023	33.105,1
Castilla y León	Alta	Mujeres	2022	31.600,91
Castilla y León	Alta	Mujeres	2021	31.576,07
Castilla y León	Alta	Mujeres	2020	30.487,51
Castilla y León	Alta	Mujeres	2019	28.078,55
Castilla y León	Alta	Mujeres	2018	28.205,2
Castilla y León	Alta	Mujeres	2017	27.383,05
Castilla y León	Alta	Mujeres	2016	26.900,58
Castilla y León	Alta	Mujeres	2015	27.198,98
Castilla y León	Alta	Mujeres	2014	26.568,49
Castilla y León	Alta	Mujeres	2013	25.837,07
Castilla y León	Alta	Mujeres	2012	25.368,04
Castilla y León	Alta	Mujeres	2011	26.248,89
Castilla y León	Alta	Mujeres	2010	26.964,64
Castilla y León	Alta	Mujeres	2009	27.315,73
Castilla y León	Alta	Mujeres	2008	25.923,18
Castilla y León	Alta	Hombres	2023	36.578,88
Castilla y León	Alta	Hombres	2022	37.185,32
Castilla y León	Alta	Hombres	2021	36.293,41
Castilla y León	Alta	Hombres	2020	33.945,59
Castilla y León	Alta	Hombres	2019	32.640,99
Castilla y León	Alta	Hombres	2018	33.656,71
Castilla y León	Alta	Hombres	2017	33.977,45
Castilla y León	Alta	Hombres	2016	32.892,73
Castilla y León	Alta	Hombres	2015	33.130,64
Castilla y León	Alta	Hombres	2014	33.198,72
Castilla y León	Alta	Hombres	2013	32.850,54
Castilla y León	Alta	Hombres	2012	33.114,38
Castilla y León	Alta	Hombres	2011	32.865,78
Castilla y León	Alta	Hombres	2010	34.231,27
Castilla y León	Alta	Hombres	2009	32.722,12
Castilla y León	Alta	Hombres	2008	30.677,51
Castilla y León	Media	Ambos sexos	2023	21.173,07
Castilla y León	Media	Ambos sexos	2022	20.560,13
Castilla y León	Media	Ambos sexos	2021	19.305,45
Castilla y León	Media	Ambos sexos	2020	18.924,35
Castilla y León	Media	Ambos sexos	2019	18.508,16
Castilla y León	Media	Ambos sexos	2018	18.991,75
Castilla y León	Media	Ambos sexos	2017	17.786,83
Castilla y León	Media	Ambos sexos	2016	17.749,29
Castilla y León	Media	Ambos sexos	2015	17.572,6
Castilla y León	Media	Ambos sexos	2014	16.725,96
Castilla y León	Media	Ambos sexos	2013	17.204,45
Castilla y León	Media	Ambos sexos	2012	17.019,52
Castilla y León	Media	Ambos sexos	2011	17.878,46
Castilla y León	Media	Ambos sexos	2010	17.602,53
Castilla y León	Media	Ambos sexos	2009	17.341,61
Castilla y León	Media	Ambos sexos	2008	17.230,53
Castilla y León	Media	Mujeres	2023	18.681,2
Castilla y León	Media	Mujeres	2022	17.723,92
Castilla y León	Media	Mujeres	2021	16.344,79
Castilla y León	Media	Mujeres	2020	16.004,2
Castilla y León	Media	Mujeres	2019	15.900,5
Castilla y León	Media	Mujeres	2018	15.733,62
Castilla y León	Media	Mujeres	2017	15.018,71
Castilla y León	Media	Mujeres	2016	15.038,93
Castilla y León	Media	Mujeres	2015	14.940,01
Castilla y León	Media	Mujeres	2014	13.845,85
Castilla y León	Media	Mujeres	2013	14.391,3
Castilla y León	Media	Mujeres	2012	14.186,83
Castilla y León	Media	Mujeres	2011	15.227,1
Castilla y León	Media	Mujeres	2010	14.266,68
Castilla y León	Media	Mujeres	2009	14.305,9
Castilla y León	Media	Mujeres	2008	14.420,55
Castilla y León	Media	Hombres	2023	24.054,88
Castilla y León	Media	Hombres	2022	23.697,1
Castilla y León	Media	Hombres	2021	22.838,24
Castilla y León	Media	Hombres	2020	22.561,54
Castilla y León	Media	Hombres	2019	21.712,17
Castilla y León	Media	Hombres	2018	22.241,61
Castilla y León	Media	Hombres	2017	21.167,87
Castilla y León	Media	Hombres	2016	21.059,88
Castilla y León	Media	Hombres	2015	20.750,68
Castilla y León	Media	Hombres	2014	19.450,62
Castilla y León	Media	Hombres	2013	20.492,08
Castilla y León	Media	Hombres	2012	20.228,4
Castilla y León	Media	Hombres	2011	20.673,98
Castilla y León	Media	Hombres	2010	20.980,24
Castilla y León	Media	Hombres	2009	20.149,45
Castilla y León	Media	Hombres	2008	19.707,51
Castilla y León	Baja	Ambos sexos	2023	21.136,24
Castilla y León	Baja	Ambos sexos	2022	19.445,16
Castilla y León	Baja	Ambos sexos	2021	19.080,29
Castilla y León	Baja	Ambos sexos	2020	18.588,84
Castilla y León	Baja	Ambos sexos	2019	18.598,82
Castilla y León	Baja	Ambos sexos	2018	17.668,34
Castilla y León	Baja	Ambos sexos	2017	17.638,1
Castilla y León	Baja	Ambos sexos	2016	17.606,82
Castilla y León	Baja	Ambos sexos	2015	16.896,29
Castilla y León	Baja	Ambos sexos	2014	16.354,21
Castilla y León	Baja	Ambos sexos	2013	15.967,48
Castilla y León	Baja	Ambos sexos	2012	16.487,46
Castilla y León	Baja	Ambos sexos	2011	16.540,63
Castilla y León	Baja	Ambos sexos	2010	16.177,52
Castilla y León	Baja	Ambos sexos	2009	16.458,72
Castilla y León	Baja	Ambos sexos	2008	16.717,27
Castilla y León	Baja	Mujeres	2023	15.235,62
Castilla y León	Baja	Mujeres	2022	14.266,24
Castilla y León	Baja	Mujeres	2021	13.500,23
Castilla y León	Baja	Mujeres	2020	12.778,17
Castilla y León	Baja	Mujeres	2019	13.077,25
Castilla y León	Baja	Mujeres	2018	12.251,98
Castilla y León	Baja	Mujeres	2017	12.538,08
Castilla y León	Baja	Mujeres	2016	12.399,78
Castilla y León	Baja	Mujeres	2015	12.528,92
Castilla y León	Baja	Mujeres	2014	11.170,62
Castilla y León	Baja	Mujeres	2013	11.589,38
Castilla y León	Baja	Mujeres	2012	11.975,27
Castilla y León	Baja	Mujeres	2011	11.599,97
Castilla y León	Baja	Mujeres	2010	11.424,76
Castilla y León	Baja	Mujeres	2009	11.624,7
Castilla y León	Baja	Mujeres	2008	12.139,1
Castilla y León	Baja	Hombres	2023	24.153,4
Castilla y León	Baja	Hombres	2022	22.238,08
Castilla y León	Baja	Hombres	2021	22.017,15
Castilla y León	Baja	Hombres	2020	21.632,41
Castilla y León	Baja	Hombres	2019	21.457,75
Castilla y León	Baja	Hombres	2018	20.732,89
Castilla y León	Baja	Hombres	2017	20.379,41
Castilla y León	Baja	Hombres	2016	20.620,97
Castilla y León	Baja	Hombres	2015	19.783,68
Castilla y León	Baja	Hombres	2014	18.927,78
Castilla y León	Baja	Hombres	2013	18.645,22
Castilla y León	Baja	Hombres	2012	18.940,71
Castilla y León	Baja	Hombres	2011	18.839,24
Castilla y León	Baja	Hombres	2010	18.361,81
Castilla y León	Baja	Hombres	2009	18.324,33
Castilla y León	Baja	Hombres	2008	18.468,6
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2023	24.885,63
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2022	23.751,71
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2021	23.234,55
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2020	22.575,01
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2019	21.908,92
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2018	21.756,38
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2017	21.033,32
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2016	20.825,87
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2015	20.670,55
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2014	20.644,88
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2013	20.630,07
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2012	20.536,42
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2011	20.664,9
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2010	20.363,01
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2009	20.228,79
Castilla - La Mancha	Todas las ocupaciones	Ambos sexos	2008	19.736,37
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2023	22.608,19
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2022	21.312,65
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2021	21.154,58
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2020	20.761,55
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2019	19.939,58
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2018	19.088,87
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2017	18.327,35
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2016	18.213,71
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2015	18.097,55
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2014	18.157,02
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2013	17.481,02
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2012	17.527,3
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2011	18.001,99
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2010	17.913
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2009	17.709,92
Castilla - La Mancha	Todas las ocupaciones	Mujeres	2008	17.562,94
Castilla - La Mancha	Todas las ocupaciones	Hombres	2023	26.766,25
Castilla - La Mancha	Todas las ocupaciones	Hombres	2022	25.813,23
Castilla - La Mancha	Todas las ocupaciones	Hombres	2021	24.897,33
Castilla - La Mancha	Todas las ocupaciones	Hombres	2020	24.029,31
Castilla - La Mancha	Todas las ocupaciones	Hombres	2019	23.494,17
Castilla - La Mancha	Todas las ocupaciones	Hombres	2018	23.960,1
Castilla - La Mancha	Todas las ocupaciones	Hombres	2017	23.160,99
Castilla - La Mancha	Todas las ocupaciones	Hombres	2016	22.871,41
Castilla - La Mancha	Todas las ocupaciones	Hombres	2015	22.765,56
Castilla - La Mancha	Todas las ocupaciones	Hombres	2014	22.719,35
Castilla - La Mancha	Todas las ocupaciones	Hombres	2013	23.316,59
Castilla - La Mancha	Todas las ocupaciones	Hombres	2012	22.810,39
Castilla - La Mancha	Todas las ocupaciones	Hombres	2011	22.771,53
Castilla - La Mancha	Todas las ocupaciones	Hombres	2010	22.292,84
Castilla - La Mancha	Todas las ocupaciones	Hombres	2009	21.980,61
Castilla - La Mancha	Todas las ocupaciones	Hombres	2008	21.141,95
Castilla - La Mancha	Alta	Ambos sexos	2023	35.450,12
Castilla - La Mancha	Alta	Ambos sexos	2022	33.305,22
Castilla - La Mancha	Alta	Ambos sexos	2021	33.874,64
Castilla - La Mancha	Alta	Ambos sexos	2020	32.686,08
Castilla - La Mancha	Alta	Ambos sexos	2019	30.981,5
Castilla - La Mancha	Alta	Ambos sexos	2018	31.660,54
Castilla - La Mancha	Alta	Ambos sexos	2017	30.667,2
Castilla - La Mancha	Alta	Ambos sexos	2016	29.888,05
Castilla - La Mancha	Alta	Ambos sexos	2015	29.225,4
Castilla - La Mancha	Alta	Ambos sexos	2014	29.144,01
Castilla - La Mancha	Alta	Ambos sexos	2013	30.320,68
Castilla - La Mancha	Alta	Ambos sexos	2012	29.967,2
Castilla - La Mancha	Alta	Ambos sexos	2011	29.485,22
