Unnamed: 0,supermarket,name,description,product_id,categoria,subcategoria
5054400,dia-es,SELECCIÓN DE DIA lomo de cerdo empanado bandeja 250 gr,,82db1c293b2eba554e11175ff2420853,frescos,carne
5056429,dia-es,Lomo bajo de Angus Argentino bandeja (peso aprox. 400 gr),,ad0f07b270ca6c639ef22fc8e7141d35,frescos,carne
5062476,dia-es,FELIX alimento para gatos en gelatina sabor carne bolsa 4 x 85 gr,,9c29fddfb7571b5b8c7e4cdcfd76acfd,mascotas,gatos
5063252,dia-es,DIA SUPER PACO lavavajillas máquina classic en pastillas caja 45 uds,,7bb82db4ed16de8e8d514f2ba67377ed,cuidado del hogar,lavavajillas
5069985,dia-es,KELLOGGS cereales special k caja 750 gr,,e5aa12b50bc93899c910a9c39815ad3c,despensa,desayunos y dulces
5070288,dia-es,DIA AL PUNTO nuggets de pollo y queso bolsa 400 gr,,4759a3770f5f1a625517eb6f3549042e,congelados,precocinados
5070336,dia-es,MAGNUM helado bombón after dinner frac caja 10 uds 290 gr,,4a5bf0128091b6226271ef464f5614b5,congelados,helados
5070729,dia-es,DIA cacao soluble bote 500 gr,,0d0b19fe9f1d3cd57170e470831963ed,despensa,desayunos y dulces
5070943,dia-es,VILEDA fregona microfibras super bolsa 1 ud,,807406de530c411187308ef26eb91888,cuidado del hogar,utensilios de limpieza
5071670,dia-es,BRUGAL ron extra viejo botella 70 cl,,a9a0fe285c29c84718ea0e73b49deaa9,bodega,alcoholes
5071710,dia-es,ECOCLEOX limpiador de cocina botella 500 ml,,1fb6746643a85569b3cb3e525f06c4e9,cuidado del hogar de limpieza,cocina
5072327,dia-es,KELLOGGS cereales special K caja 375 gr,,228029b8ea9dfab77cc473346dce30f0,despensa,desayunos y dulces
5074494,dia-es,ECOCLEOX limpiador de baño botella 500 ml,,d37e98067f3d9cc03a1d5013e205fe52,cuidado del hogar de limpieza,bano
5077071,dia-es,DIA LA LLAMA servilletas blancas 1 capa paquete 200 uds,,975d8ffc84b75c7145d47bd0ee64ae03,cuidado del hogar,papel
5079792,dia-es,DIA TEMPTATION chocolate negro 74 % con pepitas de cacao tableta 100 gr,,1005bfbadd5255bb9dc5dc0d62e68eea,despensa,desayunos y dulces
5080914,dia-es,ECOCLEOX limpiador de cristales botella 500 ml,,c03a3e2dd567e30155f97a409132215c,cuidado del hogar de limpieza,hogar
5080916,dia-es,ECOCLEOX limpiador multiusos botella 500 ml,,f2858a171aedcfe2d4bd10173fc928a3,cuidado del hogar de limpieza,hogar
5086685,dia-es,SALITOS cerveza especial blue botella 33 cl,,1e0b5a3007136d7cc695fb248d67223a,bebidas,cervezas
5091072,dia-es,PASCUAL leche entera calcio envase 1 lt PACK 6,,06576f930b16d56ef6d0be2a6aefa172,despensa,lacteos y huevos
5091073,dia-es,PASCUAL leche desnatada calcio envase 1 lt PACK 6,,355780e2242992e9b75eb26df2f279a9,despensa,lacteos y huevos
5091393,dia-es,SALITOS cerveza especial pink botella 33 cl,,f8e399a13ce0aa82bb89a8439190ec59,bebidas,cervezas
5093611,dia-es,DIAMIR macedonia de frutas en almíbar lata 480 gr,,b50944d1bab0b7b3bd53c9b7468850cb,despensa,desayunos y dulces
5094177,dia-es,DIA NUESTRA ALACENA salchichón ibérico en lonchas pack 2 x 60 gr,,15a96c8d850f7cbc24ab552c71abd175,frescos,charcuteria y quesos
5094664,dia-es,LAY'S patatas fritas gourmet bolsa 170 gr,,d0f8e4dc801e542a10f677c9ff2ef971,despensa,aperitivos
5094669,dia-es,RUFFLES patatas fritas onduladas york'eso bolsa 150 gr,,2373299cb31199e1192678bd64d3da26,despensa,aperitivos
5095702,dia-es,PASCUAL leche semidesnatada calcio envase 1 lt PACK 6,,1cf861de0637dbccafa191ccba3d7f79,despensa,lacteos y huevos
5098105,dia-es,VEGEDIA postre de soja sabor vainilla pack 4 x 100 gr,,92311ec43411990dbb2b5872d9589879,despensa,lacteos y huevos
5098932,dia-es,VITAKRAFT mousse para gatos de salmón lata 85 gr,,0e97059035f3f4346252b5ba535d8d73,mascotas,gatos
5099759,dia-es,LA PIEL esponja limpiacalzado incolora estuche 1 ud,,cf2576622c58afabc550e127b5114493,cuidado del hogar,calzado
5103349,dia-es,LA PIEL crema liquida color negro bote 50 ml,,44ffc1a2d5e2a65dd362af182abb7456,cuidado del hogar,calzado
5103422,dia-es,LA PIEL crema liquida color marrón bote 50 ml,,a67b79657ab58932993eadaf4c775207,cuidado del hogar,calzado
5104845,dia-es,DONNA DELICIA galletas rellenas con chocolate caja 150 gr,,054d1dce668dc0a6b2db7d5a3fc0b647,despensa,desayunos y dulces
5104868,dia-es,DONNA DELICIA galletas rellenas de limón caja 150 gr,,aea47552f4073648e3b5e973ca274f3d,despensa,desayunos y dulces
5104869,dia-es,DONNA DELICIA galletas rellenas con crema de avellanas caja 150 gr,,e8ffbc689039348a96938c0dfae330b3,despensa,desayunos y dulces
5105953,dia-es,CASTILLO DE SAN DIEGO BARBADILLO vino blanco de la tierra  botella 75 cl,,989ff87b643ad03b803ca2c54120271e,eco,bodega
5105954,dia-es,BLUME vino blanco joven DO Rueda botella 75 cl,,5e8e5936c9e3455ac2367d052f1631fe,peso,bodega
5106161,dia-es,DIA agua mineral natural botella 5 lt,,dfd7f8125c7be270258910f5dd606aed,bebidas,aguas
5107949,dia-es,DIA agua mineral natural botella 1.5 lt,,c2790645ef08d7603f9acb25ecc96f70,bebidas,aguas
5107955,dia-es,DIA LACTEA batido de vainilla pack 6 unidades 200 ml,,c170d94c37c1db341d35523921add851,bebidas,batidos y horchata
5111329,dia-es,DIA SELECCIÓN MUNDIAL espagueti paquete 500 gr,,6c14706b9df030fc07fa67284b31387b,despensa,pastas harinas y masas
5111351,dia-es,DIA SELECCIÓN MUNDIAL tortiglioni paquete 500 gr,,61a283804a2289fbe661250c83c1a717,despensa,pastas harinas y masas
5111549,dia-es,DIA ZUMOSFERA zumo de manzana sin azúcares añadidos envase 2 lt,,2e3310064a38d713d3fcb59b3e0e8748,bebidas,zumos
5113031,dia-es,EL MOLINO DE DIA rosquillas glaseadas estuche 4 uds 208 gr,,12c843daac560024fe26103210dfc1df,despensa,desayunos y dulces
5113222,dia-es,LAY'S bocabits bolsa 84 gr,,2b994f0e1e62bde24687da19f9f9c178,despensa,aperitivos
5114126,dia-es,TOP CAO crema de leche con 10% de avellanas vaso 200 gr,,f7200399334bc9c56d6614d3da4f96ab,despensa,desayunos y dulces
5116856,dia-es,"NESTLE plátano,naranja y galleta pack 4 uds 90 gr",,207b2d444db982b382aa92e4c2ee7004,bebe,potitos y tarritos
5117095,dia-es,LAY'S patatas fritas campesina bolsa 150 gr,,af9153c4afc785bbf39ed68b6869890b,despensa,aperitivos
5117096,dia-es,LAY'S patatas fritas vinagreta bolsa 150 gr,,5004f740b00ce77dbae05cd4e08e99ce,despensa,aperitivos
5123632,dia-es,Manzana Opal bandeja 700 gr,,ad01fa2d5dc5438e890e91c51c72ad78,frescos,frutas
5124046,dia-es,DIA IMAQE crema de manos concentrada con urea tubo 75 ml,,38c5abcb44472bec6998cda4cc0cc1ee,cuidado personal,cuidado corporal
5124047,dia-es,DIA IMAQE crema de manos hidratante con aloe vera tubo 125 ml,,0fd9a37d4014bbea4f85f8d3730f99ee,cuidado personal,cuidado corporal
5124056,dia-es,DIA IMAQE crema de manos nutritiva con karité tubo 125 ml,,dd9e8a1a5457263225bfcf3a45f37d3c,cuidado personal,cuidado corporal
5124066,dia-es,NIVEA agua micelar piel normal bote 400 ml,,3637242b0d6acbdbe6d8073dfe8e64d2,cuidado personal,cuidado corporal
